customer_id,first_name,last_name,email,phone,signup_date
C00001,David,Brown,david.brown@example.com,555-6649,2023-12-02
C00002,Carol,Miller,carol.miller@example.com,555-7353,2023-10-14
C00003,Mike,Taylor,mike.taylor@example.com,555-9526,2023-10-20
C00004,Jack,Lee,jack.lee@example.com,555-7081,2023-07-02
C00005,Laura,Allen,laura.allen@example.com,555-4562,2023-04-08
C00006,Frank,Lee,frank.lee@example.com,555-4357,2023-10-23
C00007,Eve,Scott,eve.scott@example.com,555-5946,2023-02-06
C00008,Carol,Walker,carol.walker@example.com,555-6670,2023-09-22
C00009,Frank,Walker,frank.walker@example.com,555-8892,2023-12-25
C00010,Frank,Lee,frank.lee@example.com,555-6736,2023-11-22
C00011,Laura,Smith,laura.smith@example.com,555-6743,2023-12-18
C00012,Mike,Scott,mike.scott@example.com,555-1142,2023-07-29
C00013,Eve,Johnson,eve.johnson@example.com,555-8891,2023-10-09
C00014,Hank,Smith,hank.smith@example.com,555-8457,2023-12-10
C00015,Laura,Johnson,laura.johnson@example.com,555-5898,2023-05-03
C00016,Laura,Smith,laura.smith@example.com,555-6531,2023-02-19
C00017,Hank,Miller,hank.miller@example.com,555-8917,2023-05-16
C00018,David,Brown,david.brown@example.com,555-5560,2023-02-21
C00019,Alice,Young,alice.young@example.com,555-4271,2023-04-25
C00020,Nina,Anderson,nina.anderson@example.com,555-3302,2023-11-24
C00021,David,Taylor,david.taylor@example.com,555-8365,2023-04-08
C00022,Frank,Hall,frank.hall@example.com,555-7286,2023-11-30
C00023,Pam,Young,pam.young@example.com,555-1227,2023-02-22
C00024,Pam,Anderson,pam.anderson@example.com,555-6875,2023-05-26
C00025,Pam,Allen,pam.allen@example.com,555-6188,2023-07-24
C00026,Alice,Baker,alice.baker@example.com,555-6678,2023-03-24
C00027,Mike,Hill,mike.hill@example.com,555-5605,2023-05-31
C00028,Pam,Smith,pam.smith@example.com,555-9717,2023-08-02
C00029,Pam,Brown,pam.brown@example.com,555-8977,2023-08-12
C00030,David,Young,david.young@example.com,555-2915,2023-11-14
C00031,Pam,Anderson,pam.anderson@example.com,555-5706,2023-12-07
C00032,Laura,Young,laura.young@example.com,555-5267,2023-10-08
C00033,Frank,Anderson,frank.anderson@example.com,555-6010,2023-11-08
C00034,Bob,Hall,bob.hall@example.com,555-9413,2023-09-16
C00035,Mike,Walker,mike.walker@example.com,555-8972,2023-03-16
C00036,Nina,Anderson,nina.anderson@example.com,555-1716,2023-11-30
C00037,Bob,Anderson,bob.anderson@example.com,555-3067,2023-10-25
C00038,Jack,Miller,jack.miller@example.com,555-9669,2023-04-16
C00039,Ivy,King,ivy.king@example.com,555-4157,2023-10-22
C00040,Eve,Lee,eve.lee@example.com,555-1385,2023-11-16
C00041,Eve,Anderson,eve.anderson@example.com,555-9962,2023-04-11
C00042,Pam,Allen,pam.allen@example.com,555-2975,2023-10-27
C00043,Eve,Smith,eve.smith@example.com,555-9181,2023-12-30
C00044,Frank,Miller,frank.miller@example.com,555-7031,2023-02-24
C00045,Nina,Taylor,nina.taylor@example.com,555-5370,2023-09-17
C00046,Frank,Miller,frank.miller@example.com,555-4391,2023-05-17
C00047,Laura,Hall,laura.hall@example.com,555-7709,2023-03-30
C00048,Pam,Taylor,pam.taylor@example.com,555-1488,2023-08-03
C00049,Laura,Hall,laura.hall@example.com,555-7945,2023-06-03
C00050,Ivy,Walker,ivy.walker@example.com,555-2155,2023-09-16
C00051,Ivy,Hill,ivy.hill@example.com,555-6707,2023-10-01
C00052,Jack,Hill,jack.hill@example.com,555-4626,2023-05-29
C00053,Oscar,Young,oscar.young@example.com,555-3853,2023-10-02
C00054,Carol,Miller,carol.miller@example.com,555-3908,2023-10-23
C00055,Carol,King,carol.king@example.com,555-4913,2023-04-16
C00056,Eve,Hall,eve.hall@example.com,555-8182,2023-03-01
C00057,Nina,Scott,nina.scott@example.com,555-7058,2023-05-29
C00058,Mike,Hall,mike.hall@example.com,555-5370,2023-08-10
C00059,David,Lee,david.lee@example.com,555-1915,2023-06-28
C00060,Bob,Allen,bob.allen@example.com,555-2465,2023-05-23
C00061,Mike,Hill,mike.hill@example.com,555-8955,2023-07-14
C00062,Bob,Baker,bob.baker@example.com,555-9702,2023-05-06
